Title,North_America_Sales,Europe_Sales,Japan_Sales,Other_Sales,Global_Sales
Assassin's Creed,3.28,1.65,0.07,0.55,5.55
Batman: Arkham City,2.7,1.91,0.11,0.8,5.53
Forza Motorsport 3,2.99,1.92,0.1,0.51,5.51
Monster Hunter Freedom Unite,0.47,0.57,4.13,0.34,5.5
Super Mario Advance,3.14,1.24,0.91,0.2,5.49
Mario Kart: Super Circuit,2.62,1.64,0.99,0.23,5.47
Super Mario World,3.21,1.11,0.95,0.2,5.46
Pokemon Stadium,3.18,1.24,0.94,0.09,5.45
Call of Duty: World at War,2.72,1.87,0,0.84,5.43
Crash Bandicoot: The Wrath of Cortex,02.07,2.29,0.24,0.82,5.42
Minecraft,1.97,2.51,0,0.94,5.42
Final Fantasy XIII,1.74,1.24,1.87,0.52,5.36
Dr. Mario,2.18,0.96,2,0.2,5.34
Pokemon Pinball,03.02,1.12,01.01,0.16,5.31
Assassin's Creed III,3.13,1.71,0.03,0.44,5.3
Final Fantasy IX,1.62,0.77,2.78,0.14,5.3
Final Fantasy X-2,1.92,01.08,2.11,0.17,5.29
Donkey Kong 64,3.33,0.79,01.09,0.06,5.27
Assassin's Creed II,3.1,1.56,0.08,0.51,5.27
Professor Layton and the Curious Village,1.22,2.48,01.03,0.52,5.26
Tomb Raider II,2.3,2.46,0.2,0.28,5.24
Madden NFL 2004,4.26,0.26,0.01,0.71,5.23
Dragon Quest VIII: Journey of the Cursed King,0.65,0.75,3.61,0.2,5.21
Diablo III,2.43,2.15,0,0.62,5.2
Super Mario Bros. 3,2.93,1.25,0.83,0.2,5.2
New Super Mario Bros. U,2.32,1.3,1.27,0.31,5.19
Super Mario Land 3: Wario Land,2.49,0.98,1.57,0.15,5.19
FIFA Soccer 13,01.08,3.48,0.03,0.58,5.18
The Legend of Zelda: Phantom Hourglass,1.9,1.83,0.95,0.49,5.17
Donkey Kong Country 2: Diddy's Kong Quest,2.1,0.74,2.2,0.11,5.15
Tomodachi Life,0.96,02.02,1.89,0.28,5.15
Mario & Sonic at the Olympic Games,1.64,2.48,0.44,0.58,5.14
Medal of Honor: Rising Sun,1.98,2.23,0.13,0.8,5.13
Kirby's Dream Land,2.71,0.61,1.7,0.11,5.13
Fable III,3.59,1.11,0.05,0.38,5.13
Call of Duty: Advanced Warfare,3.21,1.53,0.01,0.38,5.13
Microsoft Flight Simulator,3.22,1.69,0,0.2,5.12
Guitar Hero II,3.81,0.63,0,0.68,5.12
Resident Evil 5,1.96,1.43,01.08,0.65,5.11
Grand Theft Auto V,2.66,02.01,0,0.41,05.08
Grand Theft Auto: Vice City Stories,1.7,02.02,0.16,1.21,05.08
FIFA Soccer 11,0.6,3.29,0.06,1.13,05.08
Super Mario Bros.,3.4,1.3,0.15,0.22,05.07
Resident Evil,02.05,1.16,1.11,0.73,05.05
Tony Hawk's Pro Skater,3.42,1.38,0.02,0.2,05.02
Super Smash Bros. for Wii U and 3DS,2.59,01.06,0.8,0.57,05.02
Warzone 2100,2.79,1.89,0,0.33,05.01
Spyro the Dragon,3.36,1.36,0.07,0.21,5
Link's Crossbow Training,03.06,1.18,0.29,0.46,5
Guitar Hero III: Legends of Rock,3.49,0.01,0.01,1.48,4.98
Fallout 3,3.39,01.03,0.09,0.44,4.96
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,1.85,1.2,1.54,0.37,4.96
Uncharted: Drake's Fortune,2.31,1.73,0.12,0.78,4.94
Madden NFL 06,3.98,0.26,0.01,0.66,4.91
LEGO Star Wars: The Complete Saga,2.89,1.54,0,0.46,4.9
Diddy Kong Racing,2.91,0.99,0.89,0.1,4.88
Monster Hunter Freedom 3,0,0,4.87,0,4.87
Dr. Mario,2.62,0.6,1.52,0.1,4.85
God of War III,2.74,1.36,0.12,0.63,4.84
StarCraft II: Wings of Liberty,2.56,1.68,0,0.59,4.83
Assassin's Creed,1.91,2,0.09,0.83,4.83
FIFA 15,0.57,3.14,0.04,01.07,4.82
Crash Team Racing,2.57,1.57,0.44,0.21,4.79
FIFA 17,0.28,3.75,0.06,0.69,4.77
Batman: Arkham City,2.99,1.31,0.04,0.41,4.76
Driver 2,2.36,2.1,0.02,0.25,4.73
The Simpsons: Hit & Run,1.73,2.19,0,0.79,4.7
Tony Hawk's Pro Skater 2,03.05,1.41,0.02,0.2,4.68
Animal Crossing: City Folk,1.87,1.12,1.32,0.37,4.68
The Lord of the Rings: The Two Towers,1.94,1.95,0.08,0.7,4.67
Forza Motorsport 4,02.08,02.04,0.06,0.47,4.64
Tomb Raider,2.29,1.97,0.13,0.24,4.63
Guitar Hero III: Legends of Rock,03.06,1.12,0,0.44,4.62
The Legend of Zelda: A Link to the Past,2.42,0.91,1.15,0.13,4.61
The Legend of Zelda: The Wind Waker,2.6,0.99,0.89,0.13,4.6
Mario & Sonic at the Olympic Winter Games,1.89,1.99,0.22,0.48,4.58
Luigi's Mansion: Dark Moon,1.78,1.39,1.1,0.3,4.58
Splatoon,1.55,1.15,1.44,0.43,4.57
The Last of Us,1.78,1.87,0.07,0.82,4.55
Guitar Hero III: Legends of Rock,3.19,0.92,0.01,0.42,4.53
Madden NFL 2005,4.18,0.26,0.01,0.08,4.53
Pitfall!,4.21,0.24,0,0.05,4.5
Madden NFL 07,3.63,0.24,0.01,0.61,4.49
Spider-Man: The Movie,2.71,1.51,0.03,0.23,4.48
Dragon Quest VII: Warriors of Eden,0.2,0.14,4.1,0.02,4.47
Uncharted: The Nathan Drake Collection,1.96,1.69,0.08,0.74,4.47
Call of Duty: Advanced Warfare,1.54,1.94,0.19,0.77,4.45
God of War,2.71,1.29,0.02,0.43,4.45
Nintendo Land,2.55,1.11,0.46,0.33,4.44
Michael Jackson: The Experience,2.67,1.35,0.01,0.39,4.42
Tony Hawk's Pro Skater 3,2.66,1.29,0.01,0.46,4.41
Winning Eleven: Pro Evolution Soccer 2007,0.1,2.39,01.05,0.86,4.39
The Elder Scrolls IV: Oblivion,2.82,01.05,0.13,0.4,4.39
Zelda II: The Adventure of Link,2.19,0.5,1.61,0.08,4.38
Need for Speed: Most Wanted,02.03,1.79,0.08,0.47,4.37
Resistance: Fall of Man,1.73,1.73,0.14,0.75,4.35
Sonic the Hedgehog,03.03,0.91,0.26,0.13,4.34
Kingdom Hearts II,2.2,0.58,1.38,0.17,4.33
FIFA 14,0.92,2.93,0.01,0.46,4.31
Call of Duty: Advanced Warfare,2.75,1.18,0,0.37,4.31
Asteroids,4,0.26,0,0.05,4.31
Fable II,2.51,1.27,0.11,0.41,4.31
Halo 5: Guardians,2.64,1.2,0.03,0.39,4.26
Super Mario 3D World,2.11,1.11,0.72,0.3,4.25
Batman: Arkham Asylum,2.23,1.34,0.07,0.61,4.25
Assassin's Creed: Revelations,1.41,02.02,0.1,0.72,4.24
Namco Museum,3,1.11,0.05,0.07,4.24
Metal Gear Solid 3: Snake Eater,1.46,0,0.83,1.93,4.23
Daxter,2.45,01.02,0,0.75,4.22
Warcraft II: Tides of Darkness,1.7,2.27,0,0.23,4.21
The Legend of Zelda: Ocarina of Time,02.03,1.27,0.62,0.3,4.21
FIFA Soccer 06,0.78,2.55,0.04,0.84,4.21
EyeToy Play,0.88,2.3,0.2,0.83,4.2
Uncharted 4: A Thief's End,1.3,02.07,0.18,0.65,4.2
Gran Turismo 5 Prologue,1.28,1.83,0.57,0.53,4.2
Assassin's Creed: Revelations,2.25,1.47,0.04,0.43,4.19
Street Fighter IV,02.02,01.06,0.58,0.53,4.19
FIFA 12,0.84,2.79,0.02,0.53,4.19
Teenage Mutant Ninja Turtles,3.38,0.44,0.31,0.04,4.17
Excitebike,02.04,0.48,1.57,0.07,4.16
Frogger,3.79,0.27,0,0.11,4.16
Madden NFL 2003,3.36,0.21,0.01,0.56,4.14
Watch Dogs,1.4,1.86,0.11,0.77,4.14
Half-Life,04.03,0,0.09,0,4.12
Super Mario World 2: Yoshi's Island,1.65,0.61,1.76,0.09,4.12
FIFA Soccer 07,0.71,2.48,0.03,0.89,4.11
The Legend of Zelda: Skyward Sword,2.14,1.2,0.37,0.4,4.1
Street Fighter II Turbo,1.42,0.51,2.1,0.07,4.1
Carnival Games,2.13,1.5,0.05,0.42,4.1
Fallout 4,2.45,1.26,0.01,0.37,04.09
World of Warcraft: The Burning Crusade,2.57,1.52,0,0,04.09
Fallout: New Vegas,2.65,01.06,0.04,0.33,04.08
God of War II,2.32,0.04,0.04,1.67,04.07
Forza Motorsport 2,2.35,1.28,0.03,0.41,04.06
World Soccer Winning Eleven 9,0.12,2.26,0.9,0.77,04.06
Namco Museum Vol.3,2.28,1.55,0.16,0.06,04.05
Tekken Tag Tournament,1.68,1.51,0.51,0.35,04.05
Far Cry 4,1.12,2.12,0.1,0.69,04.03
Star Fox 64,2.78,0.58,0.64,0.04,04.03
Minecraft,1.38,1.87,0.12,0.65,04.02
Golf,1.22,0.28,2.46,0.04,04.01
Fallout 3,2.15,1.2,0.07,0.59,04.01
Professor Layton and the Diabolical Box,0.92,1.78,0.92,0.37,4
Left 4 Dead 2,2.67,0.89,0.05,0.37,3.99
Namco Museum: 50th Anniversary,02.08,1.35,0,0.54,3.98
EA Sports Active,2.1,1.36,0.06,0.4,3.92
Assassin's Creed: Unity,1.18,1.96,0.08,0.7,3.92
Donkey Kong Land,1.97,0.76,01.07,0.11,3.91
Tony Hawk's Underground,2.29,1.17,0.01,0.42,3.9
Assassin's Creed IV: Black Flag,1.33,1.71,0.13,0.73,3.89
Monster Hunter 4 Ultimate,0.67,0.49,2.62,0.11,3.89
MotorStorm,1.53,1.61,0.06,0.67,3.88
The Elder Scrolls V: Skyrim,1.15,02.09,0,0.64,3.88
Tekken 5,0.93,1.94,0.31,0.7,3.87
Dragon Warrior III,0.1,0,3.77,0,3.87
Sports Champions,2.12,1.14,0.1,0.51,3.87
NBA 2K16,2.48,0.65,0.03,0.69,3.85
World Soccer Winning Eleven 8 International,0.16,1.89,1.12,0.68,3.85
Flash Focus: Vision Training in Minutes a Day,0.87,1.57,01.05,0.35,3.84
Namco Museum Vol.1,2.12,1.44,0.22,0.06,3.84
The Legend of Zelda: Link's Awakening,2.21,0.96,0.54,0.13,3.83
Mario & Luigi: Bowser's Inside Story,2.26,0.48,0.81,0.27,3.83
Big Brain Academy: Wii Degree,01.06,1.93,0.41,0.43,3.82
Nintendogs + cats,1.44,1.37,0.73,0.27,3.81
Batman: Arkham Knight,1.49,1.58,0.1,0.61,3.79
Mario & Sonic at the London 2012 Olympic Games,1.14,1.91,0.27,0.46,3.78
LEGO Indiana Jones: The Original Adventures,2.4,01.03,0,0.36,3.78
Resident Evil Director's Cut,1.82,1.24,0.47,0.25,3.77
Ratchet & Clank: Size Matters,1.4,1.4,0.1,0.87,3.77
Just Dance 2014,1.98,1.47,0,0.32,3.76
The Sims: Unleashed,02.03,1.56,0,0.17,3.76
Super Paper Mario,1.98,0.88,0.59,0.32,3.76
Harry Potter and the Sorcerer's Stone,1.37,2,0.14,0.22,3.73
The Witcher 3: Wild Hunt,0.96,2,0.21,0.56,3.73
Resident Evil 3: Nemesis,1.3,0.77,1.54,0.11,3.72
Spyro: Year of the Dragon,1.93,1.58,0,0.19,3.71
FIFA Soccer 2005,0.58,2.48,0.04,0.59,3.7
Pokémon Trading Card Game,1.49,0.73,1.38,0.1,3.7
Battlefield 4,1.3,1.51,0.27,0.61,3.69
MySims,1.59,1.61,0.08,0.41,3.69
Friend Collection,0,0,3.67,0,3.67
Tony Hawk's Pro Skater 4,2.13,1.18,0.01,0.35,3.67
Midnight Club 3: DUB Edition,1.65,1.22,0,0.79,3.66
Banjo-Kazooie,1.87,1.13,0.55,0.1,3.65
SOCOM: U.S. Navy SEALs,2.53,0.81,0.06,0.24,3.65
Guitar Hero: World Tour,2.33,0.97,0,0.35,3.65
Gran Turismo 6,0.71,1.8,0.4,0.74,3.64
Jak and Daxter: The Precursor Legacy,02.08,01.09,0.15,0.33,3.64
Pokemon Snap,2.23,0.68,0.66,0.06,3.63
FIFA Soccer 10,0.6,2.46,0.05,0.52,3.63
Pro Evolution Soccer 2008,0.05,0,0.64,2.93,3.63
Call of Duty: Ghosts,1.78,1.42,0.05,0.38,3.63
Resident Evil 4,02.08,0.83,0.46,0.25,3.62
Tom Clancy's The Division,1.28,1.61,0.15,0.57,3.61
Star Wars: Battlefront,1.93,1.22,0.03,0.44,3.61
Doom II: Hell on Earth,02.05,1.4,0,0.16,3.61
The Simpsons: Road Rage,02.02,1.17,0,0.42,3.61
Cooking Mama 2: Dinner With Friends,1.61,1.5,0.1,0.39,3.61
Luigi's Mansion,2.38,0.67,0.46,0.1,3.6
Star Wars: Battlefront II,2.18,01.02,0.03,0.37,3.59
WWF SmackDown!,02.01,1.35,0.06,0.16,3.58
Croc: Legend of the Gobbos,1.57,1.79,0,0.2,3.56
Grand Theft Auto: Liberty City Stories,1.56,1.4,0.07,0.5,3.54
The Getaway,1.23,1.77,0.05,0.49,3.54
Tomb Raider III: Adventures of Lara Croft,1.66,1.58,0.12,0.18,3.54
James Bond 007: Agent Under Fire,1.9,1.13,0.1,0.41,3.53
LEGO Star Wars: The Video Game,1.98,1.14,0.01,0.41,3.53
Battlefield 4,2.14,01.08,0.02,0.29,3.53
FIFA Soccer 11,0.71,2.4,0.02,0.4,3.53
Rugrats in Paris: The Movie,1.96,1.33,0,0.23,3.52
Spyro 2: Ripto's Rage!,2.14,1.21,0.01,0.17,3.52
Left 4 Dead,2.66,0.5,0.05,0.3,3.52
Mario & Sonic at the Olympic Winter Games,1.22,1.66,0.27,0.38,3.52
Resident Evil 5,2.11,0.94,0.12,0.34,3.51
Donkey Kong Country 3: Dixie Kong's Double Trouble!,1.17,0.5,1.75,0.08,3.51
Assassin's Creed: Brotherhood,2.84,0.39,0.03,0.24,3.5
Kung Fu,1.64,0.38,1.42,0.06,3.5
Batman: Arkham Asylum,2.2,0.97,0.02,0.31,3.5
Clubhouse Games,0.59,1.83,0.73,0.35,3.5
FIFA Soccer 2004,0.59,2.36,0.04,0.51,3.49
Star Wars Battlefront (2015),1.94,1.22,0.02,0.31,3.49
Battlefield: Bad Company 2,02.09,01.02,0.04,0.32,3.48
Guitar Hero: On Tour,2.11,01.01,0.01,0.35,3.48
Assassin's Creed: Unity,2.26,0.89,0,0.3,3.46
Far Cry 3,0.88,1.75,0.1,0.72,3.45
Monster Hunter 4,0,0,3.44,0,3.44
Borderlands,2.39,0.73,0.03,0.29,3.44
Tekken 4,1.55,1.27,0.33,0.29,3.44
Battlefield 4,1.34,1.54,0.17,0.38,3.43
LittleBigPlanet 2,1.82,01.07,0.06,0.47,3.42
Grand Theft Auto 2,1.13,02.07,0,0.22,3.42
Final Fantasy III,0.86,0,2.55,0.02,3.42
Spider-Man 2,1.75,1.2,0.02,0.43,3.41
F-1 Race,1.73,0.69,0.59,0.4,3.41
FIFA Soccer 2003,0.46,2.28,0.05,0.61,3.4
Crash Bash,1.56,1.47,0.19,0.17,3.39
LEGO Batman: The Videogame,02.03,01.03,0,0.32,3.38
Metal Gear Solid V: The Phantom Pain,01.08,1.35,0.48,0.47,3.38
The Legend of Zelda: Spirit Tracks,1.43,0.94,0.74,0.27,3.38
WWF War Zone,2.47,0.76,0,0.13,3.36
The Legend of Zelda: Majora's Mask,1.9,0.67,0.73,0.06,3.36
Professor Layton and the Unwound Future,0.65,1.61,0.82,0.28,3.36
Rugrats: Search For Reptar,1.63,1.53,0,0.18,3.34
Assassin's Creed IV: Black Flag,1.9,1.14,0.01,0.29,3.34
English Training: Have Fun Improving Your Skills!,0,0.99,2.32,0.02,3.33
James Bond 007: Nightfire,1.45,1.29,0.12,0.46,3.33
Ratchet & Clank,1.44,01.01,0.57,0.3,3.33
Mario Party 9,1.15,1.17,0.76,0.24,3.32
Star Wars Episode III: Revenge of the Sith,1.47,1.39,0.03,0.43,3.32
Max Payne,1.99,01.05,0.05,0.22,3.31
The Lord of the Rings: The Return of the King,1.5,1.28,0.05,0.46,3.28
Assassin's Creed Syndicate,0.8,1.92,0.06,0.5,3.28
Destiny,2.13,0.92,0,0.23,3.28
True Crime: Streets of LA,1.89,01.05,0.02,0.31,3.27
Wii Music,1.36,1.13,0.46,0.32,3.27
Gran Turismo (PSP),0.5,1.59,0.31,0.87,3.27
Monster Hunter X,0.25,0.19,2.78,0.04,3.26
Tekken,0.95,1.3,0.77,0.22,3.24
FIFA 16,0.88,2.11,0,0.23,3.23
L.A. Noire,1.27,1.33,0.12,0.51,3.23
Madden NFL 16,2.33,0.3,0,0.59,3.22
Yokai Watch 2 Ganso/Honke,0.03,0,3.18,0,3.22
007: Tomorrow Never Dies,1.72,1.33,0,0.16,3.21
Baseball,0.73,0.1,2.35,0.02,3.2
Killer Instinct,2.26,0.72,0.12,0.1,3.2
WWF SmackDown! 2: Know Your Role,1.76,1.21,0.07,0.16,3.2
Crisis Core: Final Fantasy VII,1.35,0.6,0.8,0.44,3.19
God of War: Chains of Olympus,1.48,01.01,0.04,0.66,3.19
Dragon Quest VI: Maboroshi no Daichi,0,0,3.19,0,3.19
Dance Central,2.15,0.77,0.01,0.26,3.19
Enter the Matrix,1.78,1.12,0.09,0.19,3.18
Super Mario Maker,1.18,0.87,0.93,0.2,3.18
Fallout: New Vegas,1.52,01.08,0.1,0.47,3.17
LEGO Batman: The Videogame,1.86,01.02,0,0.29,3.17
Rhythm Heaven,0.58,0.51,1.93,0.14,3.17
Ace Combat 04: Shattered Skies,02.06,0.56,0.38,0.17,3.17
Club Penguin: Elite Penguin Force,1.88,0.98,0,0.3,3.16
Animal Crossing,1.92,0.16,0.99,0.09,3.15
LEGO Batman: The Videogame,1.79,01.06,0,0.29,3.15
Sonic Rush,1.22,1.57,0.06,0.29,3.15
